Date,Region,State,Condition,Temperature_C,Precipitation_mm
2025-01-04,North-Eastern,Manipur,Clear,18.4,1.3
2025-01-04,North-Eastern,Nagaland,Clear,17.5,0.3
2025-01-04,North-Eastern,Tripura,Clear,16.7,0.5
2025-01-05,Northern,Delhi,Clear,17.6,2.1
2025-01-05,Northern,Punjab,Cold,18.4,2.8
2025-01-05,Northern,Haryana,Clear,15.4,2.1
2025-01-05,Northern,Himachal Pradesh,Clear,12.4,2.9
2025-01-05,Northern,Uttarakhand,Clear,19.0,0.4
2025-01-05,Northern,Jammu & Kashmir,Clear,15.7,0.2
2025-01-05,Western,Maharashtra,Clear,16.8,4.0
2025-01-05,Western,Gujarat,Clear,19.5,0.7
2025-01-05,Western,Rajasthan,Clear,19.8,0.9
2025-01-05,Western,Goa,Cold,11.3,4.0
2025-01-05,Eastern,West Bengal,Clear,16.8,0.4
2025-01-05,Eastern,Odisha,Cold,16.3,5.0
2025-01-05,Eastern,Bihar,Clear,19.1,1.3
2025-01-05,Eastern,Jharkhand,Cold,15.6,0.4
2025-01-05,Southern,Karnataka,Clear,12.8,1.6
2025-01-05,Southern,Tamil Nadu,Clear,10.1,4.6
2025-01-05,Southern,Kerala,Clear,15.2,3.1
2025-01-05,Southern,Andhra Pradesh,Clear,11.5,0.6
2025-01-05,Southern,Telangana,Clear,17.6,2.9
2025-01-05,North-Eastern,Assam,Cold,15.6,4.6
2025-01-05,North-Eastern,Meghalaya,Cold,18.7,3.9
2025-01-05,North-Eastern,Manipur,Clear,12.6,4.4
2025-01-05,North-Eastern,Nagaland,Clear,16.1,2.4
2025-01-05,North-Eastern,Tripura,Cold,14.0,0.9
2025-01-06,Northern,Delhi,Clear,16.9,3.0
2025-01-06,Northern,Punjab,Cold,18.8,2.0
2025-01-06,Northern,Haryana,Clear,17.5,1.2
2025-01-06,Northern,Himachal Pradesh,Clear,10.2,4.5
2025-01-06,Northern,Uttarakhand,Clear,18.4,1.6
2025-01-06,Northern,Jammu & Kashmir,Clear,19.7,3.4
2025-01-06,Western,Maharashtra,Cold,19.7,0.7
2025-01-06,Western,Gujarat,Clear,13.2,3.9
2025-01-06,Western,Rajasthan,Clear,16.5,2.1
2025-01-06,Western,Goa,Cold,19.1,2.2
2025-01-06,Eastern,West Bengal,Clear,17.6,3.7
2025-01-06,Eastern,Odisha,Clear,15.2,4.1
2025-01-06,Eastern,Bihar,Cold,17.1,0.3
2025-01-06,Eastern,Jharkhand,Clear,18.5,0.7
2025-01-06,Southern,Karnataka,Clear,11.9,0.1
2025-01-06,Southern,Tamil Nadu,Cold,12.5,4.2
2025-01-06,Southern,Kerala,Clear,13.6,0.3
2025-01-06,Southern,Andhra Pradesh,Cold,18.2,1.4
2025-01-06,Southern,Telangana,Clear,19.2,2.0
2025-01-06,North-Eastern,Assam,Clear,13.7,0.2
2025-01-06,North-Eastern,Meghalaya,Clear,19.6,2.2
2025-01-06,North-Eastern,Manipur,Clear,13.5,2.9
2025-01-06,North-Eastern,Nagaland,Cold,12.6,4.2
2025-01-06,North-Eastern,Tripura,Clear,10.3,0.5
2025-01-07,Northern,Delhi,Cold,15.7,0.8
2025-01-07,Northern,Punjab,Cold,16.5,4.3
2025-01-07,Northern,Haryana,Clear,16.5,1.0
2025-01-07,Northern,Himachal Pradesh,Clear,17.8,0.1
2025-01-07,Northern,Uttarakhand,Clear,19.1,0.0
2025-01-07,Northern,Jammu & Kashmir,Clear,18.0,0.9
2025-01-07,Western,Maharashtra,Cold,18.1,1.3
2025-01-07,Western,Gujarat,Clear,17.1,3.6
2025-01-07,Western,Rajasthan,Clear,13.8,2.1
2025-01-07,Western,Goa,Clear,12.2,2.3
2025-01-07,Eastern,West Bengal,Clear,18.2,3.4
2025-01-07,Eastern,Odisha,Clear,10.1,2.9
2025-01-07,Eastern,Bihar,Clear,18.4,4.8
2025-01-07,Eastern,Jharkhand,Clear,16.1,3.2
2025-01-07,Southern,Karnataka,Clear,14.8,3.4
2025-01-07,Southern,Tamil Nadu,Clear,16.4,4.9
2025-01-07,Southern,Kerala,Clear,17.1,1.3
2025-01-07,Southern,Andhra Pradesh,Clear,11.5,1.5
2025-01-07,Southern,Telangana,Cold,18.1,4.5
2025-01-07,North-Eastern,Assam,Clear,13.2,2.0
2025-01-07,North-Eastern,Meghalaya,Cold,16.6,3.6
2025-01-07,North-Eastern,Manipur,Clear,14.2,1.3
2025-01-07,North-Eastern,Nagaland,Clear,15.8,3.7
2025-01-07,North-Eastern,Tripura,Clear,13.4,4.1
2025-01-08,Northern,Delhi,Clear,15.3,1.1
2025-01-08,Northern,Punjab,Clear,16.7,4.5
2025-01-08,Northern,Haryana,Clear,11.7,1.5
2025-01-08,Northern,Himachal Pradesh,Clear,11.8,4.4
2025-01-08,Northern,Uttarakhand,Cold,17.4,2.4
2025-01-08,Northern,Jammu & Kashmir,Clear,17.6,4.0
2025-01-08,Western,Maharashtra,Cold,19.0,4.7
2025-01-08,Western,Gujarat,Clear,13.6,0.4
2025-01-08,Western,Rajasthan,Clear,14.2,4.4
2025-01-08,Western,Goa,Clear,15.9,1.9
2025-01-08,Eastern,West Bengal,Clear,14.7,4.3
2025-01-08,Eastern,Odisha,Clear,19.4,2.9
2025-01-08,Eastern,Bihar,Cold,11.9,2.4
2025-01-08,Eastern,Jharkhand,Cold,13.8,4.3
2025-01-08,Southern,Karnataka,Clear,18.7,2.1
2025-01-08,Southern,Tamil Nadu,Cold,12.0,0.7
2025-01-08,Southern,Kerala,Clear,18.9,4.9
2025-01-08,Southern,Andhra Pradesh,Clear,18.6,0.7
2025-01-08,Southern,Telangana,Cold,14.9,3.9
2025-01-08,North-Eastern,Assam,Clear,13.1,4.9
2025-01-08,North-Eastern,Meghalaya,Cold,12.7,0.0
2025-01-08,North-Eastern,Manipur,Cold,11.6,2.9
2025-01-08,North-Eastern,Nagaland,Cold,14.3,0.6
2025-01-08,North-Eastern,Tripura,Clear,19.7,2.0
2025-01-09,Northern,Delhi,Clear,15.3,0.0
2025-01-09,Northern,Punjab,Clear,10.1,1.9
2025-01-09,Northern,Haryana,Clear,15.3,3.8
2025-01-09,Northern,Himachal Pradesh,Cold,16.3,3.4
2025-01-09,Northern,Uttarakhand,Cold,18.8,1.1
2025-01-09,Northern,Jammu & Kashmir,Clear,13.8,0.6
2025-01-09,Western,Maharashtra,Clear,10.7,1.5
2025-01-09,Western,Gujarat,Cold,12.9,1.5
2025-01-09,Western,Rajasthan,Clear,15.2,2.6
2025-01-09,Western,Goa,Clear,20.0,4.4
2025-01-09,Eastern,West Bengal,Clear,14.9,5.0
2025-01-09,Eastern,Odisha,Cold,19.1,0.8
2025-01-09,Eastern,Bihar,Clear,12.2,0.1
2025-01-09,Eastern,Jharkhand,Cold,10.2,1.1
2025-01-09,Southern,Karnataka,Clear,13.7,0.8
2025-01-09,Southern,Tamil Nadu,Clear,13.8,4.0
2025-01-09,Southern,Kerala,Clear,15.3,1.3
2025-01-09,Southern,Andhra Pradesh,Cold,10.5,3.0
2025-01-09,Southern,Telangana,Cold,10.2,3.3
2025-01-09,North-Eastern,Assam,Clear,14.4,0.6
2025-01-09,North-Eastern,Meghalaya,Cold,14.7,2.7
2025-01-09,North-Eastern,Manipur,Cold,16.9,1.0
2025-01-09,North-Eastern,Nagaland,Cold,16.6,1.5
2025-01-09,North-Eastern,Tripura,Clear,16.2,2.6
2025-01-10,Northern,Delhi,Clear,18.3,0.7
2025-01-10,Northern,Punjab,Cold,16.2,2.6
2025-01-10,Northern,Haryana,Clear,11.1,0.6
2025-01-10,Northern,Himachal Pradesh,Cold,17.8,3.0
2025-01-10,Northern,Uttarakhand,Clear,13.6,4.9
2025-01-10,Northern,Jammu & Kashmir,Clear,10.4,1.5
2025-01-10,Western,Maharashtra,Clear,16.9,4.6
2025-01-10,Western,Gujarat,Clear,10.0,1.7
2025-01-10,Western,Rajasthan,Clear,11.1,0.4
2025-01-10,Western,Goa,Clear,11.5,3.3
2025-01-10,Eastern,West Bengal,Cold,10.8,3.9
2025-01-10,Eastern,Odisha,Clear,12.6,0.5
2025-01-10,Eastern,Bihar,Cold,19.8,2.3
2025-01-10,Eastern,Jharkhand,Clear,11.0,2.3
2025-01-10,Southern,Karnataka,Cold,18.5,4.4
2025-01-10,Southern,Tamil Nadu,Clear,13.1,4.0
2025-01-10,Southern,Kerala,Clear,18.5,0.6
2025-01-10,Southern,Andhra Pradesh,Cold,11.4,0.0
2025-01-10,Southern,Telangana,Clear,13.6,0.9
2025-01-10,North-Eastern,Assam,Clear,12.7,4.8
2025-01-10,North-Eastern,Meghalaya,Clear,18.1,0.5
2025-01-10,North-Eastern,Manipur,Cold,14.0,0.6
2025-01-10,North-Eastern,Nagaland,Clear,13.9,1.4
2025-01-10,North-Eastern,Tripura,Clear,16.5,4.0
2025-01-11,Northern,Delhi,Cold,17.0,0.6
2025-01-11,Northern,Punjab,Cold,18.4,4.9
2025-01-11,Northern,Haryana,Cold,15.9,2.1
2025-01-11,Northern,Himachal Pradesh,Clear,11.8,3.4
2025-01-11,Northern,Uttarakhand,Clear,16.1,3.9
2025-01-11,Northern,Jammu & Kashmir,Clear,17.3,4.4
2025-01-11,Western,Maharashtra,Cold,14.9,2.4
2025-01-11,Western,Gujarat,Clear,10.6,2.2
2025-01-11,Western,Rajasthan,Clear,17.0,1.6
2025-01-11,Western,Goa,Clear,17.4,2.6
2025-01-11,Eastern,West Bengal,Clear,19.8,2.8
2025-01-11,Eastern,Odisha,Clear,15.2,4.4
2025-01-11,Eastern,Bihar,Clear,11.0,3.5
2025-01-11,Eastern,Jharkhand,Clear,14.8,3.6
2025-01-11,Southern,Karnataka,Clear,13.8,3.4
2025-01-11,Southern,Tamil Nadu,Clear,16.1,4.5
2025-01-11,Southern,Kerala,Cold,11.6,3.2
2025-01-11,Southern,Andhra Pradesh,Clear,18.7,4.3
2025-01-11,Southern,Telangana,Cold,13.2,3.8
2025-01-11,North-Eastern,Assam,Clear,10.5,4.9
2025-01-11,North-Eastern,Meghalaya,Cold,13.8,2.8
2025-01-11,North-Eastern,Manipur,Cold,14.4,0.4
2025-01-11,North-Eastern,Nagaland,Clear,18.6,2.2
2025-01-11,North-Eastern,Tripura,Clear,19.8,1.6
2025-01-12,Northern,Delhi,Clear,11.0,3.3
2025-01-12,Northern,Punjab,Clear,15.5,0.2
2025-01-12,Northern,Haryana,Cold,19.6,4.0
2025-01-12,Northern,Himachal Pradesh,Clear,15.1,1.5
2025-01-12,Northern,Uttarakhand,Cold,14.6,3.3
2025-01-12,Northern,Jammu & Kashmir,Clear,10.5,1.8
2025-01-12,Western,Maharashtra,Cold,13.3,4.2
2025-01-12,Western,Gujarat,Clear,17.2,3.0
2025-01-12,Western,Rajasthan,Clear,11.1,3.6
2025-01-12,Western,Goa,Clear,13.4,1.1
2025-01-12,Eastern,West Bengal,Clear,12.9,4.8
2025-01-12,Eastern,Odisha,Clear,11.1,1.9
2025-01-12,Eastern,Bihar,Cold,18.2,2.5
2025-01-12,Eastern,Jharkhand,Clear,11.1,3.6
2025-01-12,Southern,Karnataka,Clear,11.2,1.0
2025-01-12,Southern,Tamil Nadu,Clear,18.2,1.1
2025-01-12,Southern,Kerala,Cold,11.1,3.6
2025-01-12,Southern,Andhra Pradesh,Clear,16.3,0.2
2025-01-12,Southern,Telangana,Clear,17.7,2.9
2025-01-12,North-Eastern,Assam,Clear,15.9,2.3
2025-01-12,North-Eastern,Meghalaya,Clear,15.0,0.7
2025-01-12,North-Eastern,Manipur,Clear,15.5,3.7
2025-01-12,North-Eastern,Nagaland,Clear,14.8,4.2
2025-01-12,North-Eastern,Tripura,Clear,19.1,3.9
2025-01-13,Northern,Delhi,Clear,17.3,2.9
2025-01-13,Northern,Punjab,Cold,16.6,0.5
2025-01-13,Northern,Haryana,Clear,15.0,4.4
2025-01-13,Northern,Himachal Pradesh,Clear,16.1,2.1
2025-01-13,Northern,Uttarakhand,Clear,12.7,3.8
2025-01-13,Northern,Jammu & Kashmir,Clear,14.5,4.9
2025-01-13,Western,Maharashtra,Cold,16.0,0.7
2025-01-13,Western,Gujarat,Clear,18.4,2.6
2025-01-13,Western,Rajasthan,Clear,17.1,4.3
2025-01-13,Western,Goa,Clear,12.0,3.2
2025-01-13,Eastern,West Bengal,Clear,16.9,3.6
2025-01-13,Eastern,Odisha,Clear,17.1,0.7
2025-01-13,Eastern,Bihar,Cold,16.9,2.5
2025-01-13,Eastern,Jharkhand,Clear,17.6,3.6
2025-01-13,Southern,Karnataka,Clear,15.7,2.4
2025-01-13,Southern,Tamil Nadu,Clear,16.7,3.6
2025-01-13,Southern,Kerala,Clear,18.5,1.4
2025-01-13,Southern,Andhra Pradesh,Cold,10.3,2.6
2025-01-13,Southern,Telangana,Cold,10.6,0.3
2025-01-13,North-Eastern,Assam,Clear,11.6,3.8
2025-01-13,North-Eastern,Meghalaya,Clear,11.5,3.4
2025-01-13,North-Eastern,Manipur,Cold,13.0,3.5
2025-01-13,North-Eastern,Nagaland,Clear,18.1,0.2
2025-01-13,North-Eastern,Tripura,Cold,16.8,3.1
2025-01-14,Northern,Delhi,Clear,17.4,4.3
2025-01-14,Northern,Punjab,Clear,15.1,1.9
2025-01-14,Northern,Haryana,Clear,16.6,1.4
2025-01-14,Northern,Himachal Pradesh,Clear,19.6,1.9
2025-01-14,Northern,Uttarakhand,Clear,15.5,1.6
2025-01-14,Northern,Jammu & Kashmir,Cold,12.0,3.7
2025-01-14,Western,Maharashtra,Clear,19.1,4.1
2025-01-14,Western,Gujarat,Clear,13.7,3.5
2025-01-14,Western,Rajasthan,Clear,16.0,2.7
2025-01-14,Western,Goa,Clear,12.9,4.8
2025-01-14,Eastern,West Bengal,Cold,10.7,4.9
2025-01-14,Eastern,Odisha,Cold,11.2,3.7
2025-01-14,Eastern,Bihar,Cold,15.6,2.1
2025-01-14,Eastern,Jharkhand,Cold,18.5,0.8
2025-01-14,Southern,Karnataka,Cold,17.1,1.7
2025-01-14,Southern,Tamil Nadu,Cold,19.3,0.2
2025-01-14,Southern,Kerala,Clear,19.3,0.3
2025-01-14,Southern,Andhra Pradesh,Clear,13.0,4.2
2025-01-14,Southern,Telangana,Clear,10.7,2.8
2025-01-14,North-Eastern,Assam,Clear,12.2,1.6
2025-01-14,North-Eastern,Meghalaya,Cold,17.9,2.6
2025-01-14,North-Eastern,Manipur,Cold,15.4,2.1
2025-01-14,North-Eastern,Nagaland,Cold,18.8,1.7
2025-01-14,North-Eastern,Tripura,Clear,13.6,1.7
2025-01-15,Northern,Delhi,Cold,16.2,4.8
2025-01-15,Northern,Punjab,Clear,18.2,5.0
2025-01-15,Northern,Haryana,Clear,16.7,0.0
2025-01-15,Northern,Himachal Pradesh,Clear,16.4,1.2
2025-01-15,Northern,Uttarakhand,Clear,10.4,1.2
2025-01-15,Northern,Jammu & Kashmir,Clear,18.0,1.9
2025-01-15,Western,Maharashtra,Cold,15.4,1.9
2025-01-15,Western,Gujarat,Clear,15.2,0.1
2025-01-15,Western,Rajasthan,Clear,15.1,2.6
2025-01-15,Western,Goa,Clear,19.0,0.2
2025-01-15,Eastern,West Bengal,Cold,10.8,1.6
2025-01-15,Eastern,Odisha,Cold,19.6,0.8
2025-01-15,Eastern,Bihar,Clear,16.3,2.7
2025-01-15,Eastern,Jharkhand,Cold,17.7,3.4
2025-01-15,Southern,Karnataka,Clear,11.0,2.1
2025-01-15,Southern,Tamil Nadu,Clear,18.8,4.1
2025-01-15,Southern,Kerala,Clear,16.5,3.9
2025-01-15,Southern,Andhra Pradesh,Cold,11.5,3.7
2025-01-15,Southern,Telangana,Clear,10.4,3.6
2025-01-15,North-Eastern,Assam,Cold,17.9,0.3
2025-01-15,North-Eastern,Meghalaya,Clear,18.2,0.4
2025-01-15,North-Eastern,Manipur,Clear,14.5,2.0
2025-01-15,North-Eastern,Nagaland,Clear,10.2,2.2
2025-01-15,North-Eastern,Tripura,Clear,10.1,0.6
2025-01-16,Northern,Delhi,Clear,17.6,3.1
2025-01-16,Northern,Punjab,Clear,18.5,0.2
2025-01-16,Northern,Haryana,Clear,11.1,4.6
2025-01-16,Northern,Himachal Pradesh,Clear,10.9,1.5
2025-01-16,Northern,Uttarakhand,Clear,18.2,1.9
2025-01-16,Northern,Jammu & Kashmir,Cold,15.3,2.4
2025-01-16,Western,Maharashtra,Cold,18.0,3.7
2025-01-16,Western,Gujarat,Clear,16.3,1.5
2025-01-16,Western,Rajasthan,Clear,19.1,3.4
2025-01-16,Western,Goa,Clear,19.6,3.2
2025-01-16,Eastern,West Bengal,Cold,15.6,2.8
2025-01-16,Eastern,Odisha,Cold,15.7,0.2
2025-01-16,Eastern,Bihar,Clear,19.5,2.7
2025-01-16,Eastern,Jharkhand,Clear,17.4,1.1
2025-01-16,Southern,Karnataka,Clear,14.1,1.7
2025-01-16,Southern,Tamil Nadu,Clear,11.4,4.3
2025-01-16,Southern,Kerala,Cold,18.3,1.1
2025-01-16,Southern,Andhra Pradesh,Cold,16.7,0.6
2025-01-16,Southern,Telangana,Clear,18.5,4.3
2025-01-16,North-Eastern,Assam,Clear,15.5,2.3
2025-01-16,North-Eastern,Meghalaya,Clear,12.5,3.4
2025-01-16,North-Eastern,Manipur,Cold,14.9,3.6
2025-01-16,North-Eastern,Nagaland,Clear,16.7,1.8
2025-01-16,North-Eastern,Tripura,Cold,16.2,0.5
2025-01-17,Northern,Delhi,Cold,14.5,1.6
2025-01-17,Northern,Punjab,Clear,16.9,3.3
2025-01-17,Northern,Haryana,Cold,13.6,2.8
2025-01-17,Northern,Himachal Pradesh,Clear,11.7,4.8
2025-01-17,Northern,Uttarakhand,Clear,12.2,1.2
2025-01-17,Northern,Jammu & Kashmir,Clear,12.8,3.2
2025-01-17,Western,Maharashtra,Clear,17.3,0.7
2025-01-17,Western,Gujarat,Clear,13.6,2.3
2025-01-17,Western,Rajasthan,Clear,11.1,2.4
2025-01-17,Western,Goa,Clear,18.4,3.0
2025-01-17,Eastern,West Bengal,Cold,12.0,4.5
2025-01-17,Eastern,Odisha,Clear,10.8,4.4
2025-01-17,Eastern,Bihar,Cold,18.5,4.5
2025-01-17,Eastern,Jharkhand,Clear,15.8,0.2
2025-01-17,Southern,Karnataka,Clear,12.1,3.8
2025-01-17,Southern,Tamil Nadu,Cold,15.4,2.8
2025-01-17,Southern,Kerala,Clear,17.8,2.4
2025-01-17,Southern,Andhra Pradesh,Clear,18.9,2.0
2025-01-17,Southern,Telangana,Clear,12.9,3.7
2025-01-17,North-Eastern,Assam,Clear,10.9,2.5
2025-01-17,North-Eastern,Meghalaya,Clear,16.6,2.5
2025-01-17,North-Eastern,Manipur,Clear,17.6,3.4
2025-01-17,North-Eastern,Nagaland,Cold,11.8,2.2
2025-01-17,North-Eastern,Tripura,Clear,19.7,3.3
2025-01-18,Northern,Delhi,Clear,19.4,3.7
2025-01-18,Northern,Punjab,Cold,14.9,1.1
2025-01-18,Northern,Haryana,Cold,12.3,1.3
2025-01-18,Northern,Himachal Pradesh,Clear,19.1,1.0
2025-01-18,Northern,Uttarakhand,Clear,19.2,1.9
2025-01-18,Northern,Jammu & Kashmir,Cold,16.5,0.2
2025-01-18,Western,Maharashtra,Cold,15.2,3.5
2025-01-18,Western,Gujarat,Clear,12.6,4.2
2025-01-18,Western,Rajasthan,Clear,13.8,2.9
2025-01-18,Western,Goa,Clear,16.5,1.8
2025-01-18,Eastern,West Bengal,Cold,13.8,2.6
2025-01-18,Eastern,Odisha,Cold,13.5,2.6
2025-01-18,Eastern,Bihar,Clear,14.8,2.4
2025-01-18,Eastern,Jharkhand,Clear,18.8,0.0
2025-01-18,Southern,Karnataka,Clear,10.8,0.8
2025-01-18,Southern,Tamil Nadu,Clear,11.5,1.4
2025-01-18,Southern,Kerala,Cold,17.2,1.8
2025-01-18,Southern,Andhra Pradesh,Cold,14.1,3.3
2025-01-18,Southern,Telangana,Clear,14.8,3.6
2025-01-18,North-Eastern,Assam,Clear,15.9,2.4
2025-01-18,North-Eastern,Meghalaya,Clear,10.2,4.2
2025-01-18,North-Eastern,Manipur,Cold,15.9,0.6
2025-01-18,North-Eastern,Nagaland,Cold,10.4,3.1
2025-01-18,North-Eastern,Tripura,Clear,11.7,0.7
2025-01-19,Northern,Delhi,Cold,14.1,2.6
2025-01-19,Northern,Punjab,Clear,18.8,3.2
2025-01-19,Northern,Haryana,Clear,12.8,3.3
2025-01-19,Northern,Himachal Pradesh,Cold,16.1,1.1
2025-01-19,Northern,Uttarakhand,Clear,11.7,4.3
2025-01-19,Northern,Jammu & Kashmir,Clear,17.9,3.0
2025-01-19,Western,Maharashtra,Cold,15.1,3.1
2025-01-19,Western,Gujarat,Cold,13.4,3.6
2025-01-19,Western,Rajasthan,Clear,10.7,3.0
2025-01-19,Western,Goa,Clear,11.1,1.9
2025-01-19,Eastern,West Bengal,Cold,19.1,2.6
2025-01-19,Eastern,Odisha,Clear,11.5,2.1
2025-01-19,Eastern,Bihar,Cold,19.0,0.9
2025-01-19,Eastern,Jharkhand,Clear,17.8,0.2
2025-01-19,Southern,Karnataka,Clear,10.9,3.8
2025-01-19,Southern,Tamil Nadu,Clear,16.0,0.7
2025-01-19,Southern,Kerala,Cold,17.7,4.5
2025-01-19,Southern,Andhra Pradesh,Clear,14.2,2.2
2025-01-19,Southern,Telangana,Cold,14.3,3.5
2025-01-19,North-Eastern,Assam,Clear,13.8,3.9
2025-01-19,North-Eastern,Meghalaya,Clear,19.1,4.0
2025-01-19,North-Eastern,Manipur,Clear,14.3,2.9
2025-01-19,North-Eastern,Nagaland,Clear,12.3,2.4
2025-01-19,North-Eastern,Tripura,Cold,18.8,1.4
2025-01-20,Northern,Delhi,Clear,10.1,1.3
2025-01-20,Northern,Punjab,Clear,15.8,3.9
2025-01-20,Northern,Haryana,Cold,13.8,2.6
2025-01-20,Northern,Himachal Pradesh,Cold,13.2,3.4
2025-01-20,Northern,Uttarakhand,Clear,14.3,0.5
2025-01-20,Northern,Jammu & Kashmir,Clear,18.5,1.3
2025-01-20,Western,Maharashtra,Clear,16.1,2.8
2025-01-20,Western,Gujarat,Clear,12.0,2.0
