item_code,project_title,serial_number,description,unit,quantity,rate_per_unit,total_cost,material_category,shelf_life,reorder_frequency,procurement_lead_time,has_components,component_count
0501,Cost data for 22 Kv Switching Station (Outdoor),6-SUB,Beam type HA(2 Nos.)-261.0 Kg.,MT,0.783,48500.0,37975.5,steel,Long (>5 years),Quarterly,2-3 weeks,No,0
0501,Cost data for 22 Kv Switching Station (Outdoor),6-SUB,M.S.Flat 50 x 6 mm,Kg.,140.0,48.5,6790.0,other,Variable,As needed,1-2 weeks,No,0
0501,Cost data for 22 Kv Switching Station (Outdoor),6-SUB,Earthing Sets H.T of C.I.pipe 150 mm 3 mtr.,No.,2.0,6300.0,12600.0,pipes,Long (>5 years),As needed,2-3 weeks,No,0
0501,Cost data for 22 Kv Switching Station (Outdoor),6-SUB,Coat,Kg.,200.0,15.0,3000.0,other,Variable,As needed,1-2 weeks,No,0
0501,Cost data for 22 Kv Switching Station (Outdoor),6-SUB,Salt,Kg.,200.0,7.0,1400.0,other,Variable,As needed,1-2 weeks,No,0
0501,Cost data for 22 Kv Switching Station (Outdoor),6-SUB,RCC Ring work for earthing pits,No.,2.0,266.0,532.0,other,Variable,As needed,1-2 weeks,No,0
0501,Cost data for 22 Kv Switching Station (Outdoor),6-SUB,Sundries,L.S.,1.0,810.0,810.0,other,Variable,As needed,1-2 weeks,No,0
0501,Cost data for 22 Kv Switching Station (Outdoor),6-SUB,Structure for 22 KV PT,Kg.,315.0,51.8,16317.0,other,Variable,As needed,1-2 weeks,No,0
0501,Cost data for 22 Kv Switching Station (Outdoor),6-SUB,Structure for 22 KV H/G.,Kg.,155.0,51.8,8029.0,other,Variable,As needed,1-2 weeks,No,0
0501,Cost data for 22 Kv Switching Station (Outdoor),6-SUB,G.I.Nut Bolts,Kg.,30.0,82.9,2487.0,fasteners,Long (>5 years),Quarterly,1 week,No,0
0501,Cost data for 22 Kv Switching Station (Outdoor),6-SUB,T-Connector for 200 sq mm conductor(Compression type),Nos.,30.0,3352.0,100560.0,electrical,Long (>5 years),As needed,2-4 weeks,No,0
0501,Cost data for 22 Kv Switching Station (Outdoor),6-SUB,DOG TO DOG or equivalent AAAC,,0.0,559.0,0.0,other,Variable,As needed,1-2 weeks,No,0
0501,Cost data for 22 Kv Switching Station (Outdoor),6-SUB,Clamps for 22 KV Isolator,Nos.,18.0,1020.0,18360.0,other,Variable,As needed,1-2 weeks,No,0
0501,Cost data for 22 Kv Switching Station (Outdoor),6-SUB,Clamps for 22 KV P.T.,Nos.,3.0,1425.0,4275.0,other,Variable,As needed,1-2 weeks,No,0
0501,Cost data for 22 Kv Switching Station (Outdoor),6-SUB,Armoured Copper control cable 2Cx2.5 sq.mm.,Rmt,100.0,55.11,5511.0,electrical,Long (>5 years),As needed,2-4 weeks,No,0
0501,Cost data for 22 Kv Switching Station (Outdoor),6-SUB,"Cable Trays 2.5 Mtr. X 6"" W",Nos.,5.0,333.0,1665.0,electrical,Long (>5 years),As needed,2-4 weeks,No,0
0501,Cost data for 22 Kv Switching Station (Outdoor),6-SUB,G.I Angles (50X50X6mm) forcable tray,Kg.,10.0,70.08,700.8,steel,Long (>5 years),Quarterly,2-3 weeks,No,0
0501,Cost data for 22 Kv Switching Station (Outdoor),6-SUB,Miscelleneous material,L.S,1.0,475.0,475.0,other,Variable,As needed,1-2 weeks,No,0
0501,Cost data for 22 Kv Switching Station (Outdoor),6-SUB,AAAC 232 mm2,Rml,200.0,127.4,25480.0,other,Variable,As needed,1-2 weeks,No,0
0501,Cost data for 22 Kv Switching Station (Outdoor),6-SUB,Disc Insulator 11 KV 70 KN,Nos.,24.0,344.0,8256.0,insulation,Long (>5 years),As needed,1-2 weeks,No,0
0501,Cost data for 22 Kv Switching Station (Outdoor),6-SUB,Strain Hardware for AAAC232 sq.mm.,Nos.,12.0,603.0,7236.0,other,Variable,As needed,1-2 weeks,No,0
0501,Cost data for 22 Kv Switching Station (Outdoor),6-SUB,Miscelleneous material,L.S,1.0,475.0,475.0,other,Variable,As needed,1-2 weeks,No,0
0501,Cost data for 22 Kv Switching Station (Outdoor),7,AC Distribution Board 'B' type,Nos.,1.0,24325.0,24325.0,lumber,Medium (1-2 years),Bi-monthly,1-2 weeks,No,0
0501,Cost data for 22 Kv Switching Station (Outdoor),8,Fire Extinguisher with stand,L5,1.0,4200.0,4200.0,other,Variable,As needed,1-2 weeks,No,0
0501,Cost data for 22 Kv Switching Station (Outdoor),9,Switchyard lighting(As per Sht.no.4),Nos.,1.0,153263.5,153263.5,other,Variable,As needed,1-2 weeks,Yes,8
0501,Cost data for 22 Kv Switching Station (Outdoor),9-SUB,Flood lights with control gear box & 250w SV Lamp,No.,10.0,6300.0,63000.0,other,Variable,As needed,1-2 weeks,No,0
0501,Cost data for 22 Kv Switching Station (Outdoor),9-SUB,"Tubular pole 9 Mtr. Long 88.9C, 137.7 mm",No.,10.0,4815.0,48150.0,other,Variable,As needed,1-2 weeks,No,0
0501,Cost data for 22 Kv Switching Station (Outdoor),9-SUB,L.T. XLPE Armoured cable 4core 16sq.mm.,Mtr.,175.0,78.0,13650.0,electrical,Long (>5 years),As needed,2-4 weeks,No,0
0501,Cost data for 22 Kv Switching Station (Outdoor),9-SUB,L.T. 2 Core Cable 2.5 sqmm Armoured,Mtr.,75.0,77.0,5775.0,electrical,Long (>5 years),As needed,2-4 weeks,No,0
0501,Cost data for 22 Kv Switching Station (Outdoor),9-SUB,Concreting ration 1:3:6,Cmt,5.5,3027.0,16648.5,other,Variable,As needed,1-2 weeks,No,0
0501,Cost data for 22 Kv Switching Station (Outdoor),9-SUB,Red Bricks,No.,850.0,5.5,4675.0,other,Variable,As needed,1-2 weeks,No,0
0501,Cost data for 22 Kv Switching Station (Outdoor),9-SUB,Sand,Cum,2.5,222.0,555.0,other,Variable,As needed,1-2 weeks,No,0
0501,Cost data for 22 Kv Switching Station (Outdoor),9-SUB,Sundries,L.S.,0.0,810.0,810.0,other,Variable,As needed,1-2 weeks,No,0
0711,DOUPLE POLE STRUCTURE(cut point) OF- 33 KV LINE USING13 M LONG RSJ POLE,1,"RSJ 152x152, 13 m long",No.,2.0,21562.0,43124.0,steel,Long (>5 years),Quarterly,2-3 weeks,No,0
0711,DOUPLE POLE STRUCTURE(cut point) OF- 33 KV LINE USING13 M LONG RSJ POLE,2,M.S. Flats(50 X 10mm),Kg.,10.0,48.5,485.0,other,Variable,As needed,1-2 weeks,No,0
0711,DOUPLE POLE STRUCTURE(cut point) OF- 33 KV LINE USING13 M LONG RSJ POLE,3,MS Channel 100x50x6 mm,Kg.,46.0,51.8,2382.8,steel,Long (>5 years),Quarterly,2-3 weeks,No,0
0711,DOUPLE POLE STRUCTURE(cut point) OF- 33 KV LINE USING13 M LONG RSJ POLE,4,MS angle 50x50x6 mm,Kg.,50.0,51.8,2590.0,steel,Long (>5 years),Quarterly,2-3 weeks,No,0
0711,DOUPLE POLE STRUCTURE(cut point) OF- 33 KV LINE USING13 M LONG RSJ POLE,5,33 kv guarding channel MS100x50,Kg.,80.0,51.8,4144.0,steel,Long (>5 years),Quarterly,2-3 weeks,No,0
0711,DOUPLE POLE STRUCTURE(cut point) OF- 33 KV LINE USING13 M LONG RSJ POLE,6,33 kV Pin Insulators with G.I. Pins,No.,3.0,541.0,1623.0,insulation,Long (>5 years),As needed,1-2 weeks,No,0
0711,DOUPLE POLE STRUCTURE(cut point) OF- 33 KV LINE USING13 M LONG RSJ POLE,7,Strain Hardware for Dog0.1 or Equ.AAAC.,No.,6.0,322.0,1932.0,other,Variable,As needed,1-2 weeks,No,0
0711,DOUPLE POLE STRUCTURE(cut point) OF- 33 KV LINE USING13 M LONG RSJ POLE,8,Disc Insulator 11 KV 70 KN,No.,18.0,344.0,6192.0,insulation,Long (>5 years),As needed,1-2 weeks,No,0
0711,DOUPLE POLE STRUCTURE(cut point) OF- 33 KV LINE USING13 M LONG RSJ POLE,9,H.T.Stay Set,No.,4.0,598.0,2392.0,other,Variable,As needed,1-2 weeks,No,0
0711,DOUPLE POLE STRUCTURE(cut point) OF- 33 KV LINE USING13 M LONG RSJ POLE,10,G.I.Stay Wire 7/4mm(8 SWG),Kg.,20.0,57.45,1149.0,electrical,Long (>5 years),As needed,2-4 weeks,No,0
0711,DOUPLE POLE STRUCTURE(cut point) OF- 33 KV LINE USING13 M LONG RSJ POLE,11,Earthing Sets H.T,No.,2.0,342.0,684.0,other,Variable,As needed,1-2 weeks,No,0
0711,DOUPLE POLE STRUCTURE(cut point) OF- 33 KV LINE USING13 M LONG RSJ POLE,12,G.I.Wire 8 SWG/ 6 SWG,kg.,6.0,57.4,344.4,electrical,Long (>5 years),As needed,2-4 weeks,No,0
0711,DOUPLE POLE STRUCTURE(cut point) OF- 33 KV LINE USING13 M LONG RSJ POLE,13,G.I.Barbed Wire 'A' type.,kg.,7.0,64.27,449.89,electrical,Long (>5 years),As needed,2-4 weeks,No,0
0711,DOUPLE POLE STRUCTURE(cut point) OF- 33 KV LINE USING13 M LONG RSJ POLE,14,Danger Board in yard.,No.,2.0,50.0,100.0,lumber,Medium (1-2 years),Bi-monthly,1-2 weeks,No,0
0711,DOUPLE POLE STRUCTURE(cut point) OF- 33 KV LINE USING13 M LONG RSJ POLE,15,Black Bituminus Paint,Ltr.,1.0,85.0,85.0,paint,Short (6-12 months),Monthly,3-5 days,No,0
0711,DOUPLE POLE STRUCTURE(cut point) OF- 33 KV LINE USING13 M LONG RSJ POLE,16,Red Oxide Paint for 2 coats,Ltr.,3.0,85.0,255.0,paint,Short (6-12 months),Monthly,3-5 days,No,0
0711,DOUPLE POLE STRUCTURE(cut point) OF- 33 KV LINE USING13 M LONG RSJ POLE,17,Aluminium Paint for 1 coat,Ltr.,2.0,113.0,226.0,paint,Short (6-12 months),Monthly,3-5 days,No,0
0711,DOUPLE POLE STRUCTURE(cut point) OF- 33 KV LINE USING13 M LONG RSJ POLE,18,Concreting ration 1:3:6,Cmt.,2.0,3027.0,6054.0,other,Variable,As needed,1-2 weeks,No,0
0711,DOUPLE POLE STRUCTURE(cut point) OF- 33 KV LINE USING13 M LONG RSJ POLE,19,Sundries,LS,1.0,810.0,810.0,other,Variable,As needed,1-2 weeks,No,0
,MAHAVITARAN Cost Estimate,1,"33 kV Single Circuit road crossing with 100sqmm on 100 X 116mm,10 mtr RSJ Poles (Item Code 0707)",,1.0,133418.0,133418.0,steel,Long (>5 years),Quarterly,2-3 weeks,Yes,20
,MAHAVITARAN Cost Estimate,1-SUB,"RSJ 116x100, 10 m long",No.,4.0,10283.0,41132.0,steel,Long (>5 years),Quarterly,2-3 weeks,No,0
,MAHAVITARAN Cost Estimate,1-SUB,MS Channel 100x50x6 mm,Kg.,70.0,51.8,3626.0,steel,Long (>5 years),Quarterly,2-3 weeks,No,0
,MAHAVITARAN Cost Estimate,1-SUB,4 MS angle 50x50x6 mm,kg.,22.0,51.8,1139.6,steel,Long (>5 years),Quarterly,2-3 weeks,No,0
,MAHAVITARAN Cost Estimate,1-SUB,5 M.S.Flat 50 x 6 mm,kg.,24.0,48.5,1164.0,other,Variable,As needed,1-2 weeks,No,0
,MAHAVITARAN Cost Estimate,1-SUB,7 AAAC 100 mm2,m,100.0,51.82,5182.0,other,Variable,As needed,1-2 weeks,No,0
,MAHAVITARAN Cost Estimate,1-SUB,8 33 kV Pin Insulators with G.I. Pins,NO.,6.0,541.0,3246.0,insulation,Long (>5 years),As needed,1-2 weeks,No,0
,MAHAVITARAN Cost Estimate,1-SUB,11 Disc Insulator 11 KV 45 KN,NO.,36.0,244.0,8784.0,insulation,Long (>5 years),As needed,1-2 weeks,No,0
,MAHAVITARAN Cost Estimate,1-SUB,12 Strain Hardware for Dog0.1 or Equ.AAAC.,No.,12.0,322.0,3864.0,other,Variable,As needed,1-2 weeks,No,0
,MAHAVITARAN Cost Estimate,1-SUB,13 H.T.Stay Set,No,4.0,598.0,2392.0,other,Variable,As needed,1-2 weeks,No,0
,MAHAVITARAN Cost Estimate,1-SUB,14 G.I.Stay Wire 7/4mm(8 SWG),kg.,20.0,57.45,1149.0,electrical,Long (>5 years),As needed,2-4 weeks,No,0
,MAHAVITARAN Cost Estimate,1-SUB,15 Earthing Sets H.T,No.,4.0,342.0,1368.0,other,Variable,As needed,1-2 weeks,No,0
,MAHAVITARAN Cost Estimate,1-SUB,16 Danger Board in yard.,No.,4.0,50.0,200.0,lumber,Medium (1-2 years),Bi-monthly,1-2 weeks,No,0
,MAHAVITARAN Cost Estimate,1-SUB,17 G.I.Wire 8 SWG/ 6 SWG,Kg.,25.0,57.4,1435.0,electrical,Long (>5 years),As needed,2-4 weeks,No,0
,MAHAVITARAN Cost Estimate,1-SUB,18 G.I.Barbed Wire 'A' type.,kg.,30.0,64.27,1928.1,electrical,Long (>5 years),As needed,2-4 weeks,No,0
,MAHAVITARAN Cost Estimate,1-SUB,19 Black Bituminus Paint,Ltr.,2.0,85.0,170.0,paint,Short (6-12 months),Monthly,3-5 days,No,0
,MAHAVITARAN Cost Estimate,1-SUB,20 Red Oxide Paint for 2 coats,Ltr.,6.0,85.0,510.0,paint,Short (6-12 months),Monthly,3-5 days,No,0
,MAHAVITARAN Cost Estimate,1-SUB,21 Aluminium Paint for 1 coat,Ltr.,4.0,113.0,452.0,paint,Short (6-12 months),Monthly,3-5 days,No,0
,MAHAVITARAN Cost Estimate,1-SUB,22 Concreting ration 1:3:6,CMT.,4.0,3027.0,12108.0,other,Variable,As needed,1-2 weeks,No,0
,MAHAVITARAN Cost Estimate,1-SUB,23 Sundries,L.S.,1.0,810.0,810.0,other,Variable,As needed,1-2 weeks,No,0
,MAHAVITARAN Cost Estimate,1-SUB,24 Wedge connectors DOG TO DOG or equivalent AAAC,No,12.0,559.0,6708.0,other,Variable,As needed,1-2 weeks,No,0
,MAHAVITARAN Cost Estimate,2,Cost Data for laying of 1 Km. 33 KV 3 C 300 mm 2 XLPE under ground Cable (Item Code 0708),,1.0,2768352.0,2768352.0,electrical,Long (>5 years),As needed,2-4 weeks,Yes,7
,MAHAVITARAN Cost Estimate,2-SUB,XLPE Cable 33 KV. 3 C / 300 mm sq.,Rmt,1000.0,1737.0,1737000.0,electrical,Long (>5 years),As needed,2-4 weeks,No,0
,MAHAVITARAN Cost Estimate,2-SUB,R.C.C. Pipe 150 mm 2 M,No,30.0,572.0,17160.0,pipes,Long (>5 years),As needed,2-3 weeks,No,0
,MAHAVITARAN Cost Estimate,2-SUB,RCC Tiles (0.6 x 0.5) Mtrs.,No.,940.0,104.0,97760.0,other,Variable,As needed,1-2 weeks,No,0
,MAHAVITARAN Cost Estimate,2-SUB,33 kV Heat shrik Straight through joint (AI) kit for XLPE 3 C X 300 sqmm,No.,2.0,36900.0,73800.0,other,Variable,As needed,1-2 weeks,No,0
,MAHAVITARAN Cost Estimate,2-SUB,33 kV Heat shrik Outdoor termination joint (AI) kit for XLPE 3 C X 300 sqmm,No.,2.0,19028.0,38056.0,other,Variable,As needed,1-2 weeks,No,0
,MAHAVITARAN Cost Estimate,2-SUB,Sand,Cmt.,250.0,222.0,55500.0,other,Variable,As needed,1-2 weeks,No,0
,MAHAVITARAN Cost Estimate,2-SUB,Misc. for XLPE U/G Cable,LS,1.0,1050.0,1050.0,electrical,Long (>5 years),As needed,2-4 weeks,No,0
0401,"Cost data for 22/11 KV, 1x5 MVA Substation ( Outdoor)",1,22 KV Lightning Arrestors (Station type),Set,2.0,11884.0,23768.0,other,Variable,As needed,1-2 weeks,No,0
0401,"Cost data for 22/11 KV, 1x5 MVA Substation ( Outdoor)",2,22 KV Isolators with EB (800 A),Set,1.0,41547.0,41547.0,other,Variable,As needed,1-2 weeks,No,0
0401,"Cost data for 22/11 KV, 1x5 MVA Substation ( Outdoor)",3,22 KV Isolators without EB (800 Amp.),Set,3.0,35680.0,107040.0,other,Variable,As needed,1-2 weeks,No,0
0401,"Cost data for 22/11 KV, 1x5 MVA Substation ( Outdoor)",4,22 KV Post Insulator,Nos,3.0,835.0,2505.0,insulation,Long (>5 years),As needed,1-2 weeks,No,0
0401,"Cost data for 22/11 KV, 1x5 MVA Substation ( Outdoor)",5,Gantry Structure/Steel section for 22 KV Bus as per Sheet No. 1,Nos,1.0,121541.0,121541.0,steel,Long (>5 years),Quarterly,2-3 weeks,Yes,2
0401,"Cost data for 22/11 KV, 1x5 MVA Substation ( Outdoor)",5-SUB,Column type HG(4 Nos.)-496.0 kg.,MT,1.984,48500.0,96224.0,other,Variable,As needed,1-2 weeks,No,0
0401,"Cost data for 22/11 KV, 1x5 MVA Substation ( Outdoor)",5-SUB,Beam type HA(2 Nos.)-261.0 Kg.,MT,0.522,48500.0,25317.0,steel,Long (>5 years),Quarterly,2-3 weeks,No,0
0401,"Cost data for 22/11 KV, 1x5 MVA Substation ( Outdoor)",6,Disc Insulator 11 KV 70 KN,Nos,18.0,344.0,8192.0,insulation,Long (>5 years),As needed,1-2 weeks,No,0
0401,"Cost data for 22/11 KV, 1x5 MVA Substation ( Outdoor)",7,AAAC 232 mm2,MTR,200.0,127.4,25480.0,other,Variable,As needed,1-2 weeks,No,0
0401,"Cost data for 22/11 KV, 1x5 MVA Substation ( Outdoor)",8,Strain Hardware for AAAC232 sq.mm.,Nos,6.0,603.0,3618.0,other,Variable,As needed,1-2 weeks,No,0
0401,"Cost data for 22/11 KV, 1x5 MVA Substation ( Outdoor)",9,Earthing complete as per Sheet no. 2,Set,1.0,240980.0,240980.0,other,Variable,As needed,1-2 weeks,Yes,6
0401,"Cost data for 22/11 KV, 1x5 MVA Substation ( Outdoor)",9-SUB,M.S.Flat 50 x 6 mm,Kg.,1500.0,48.5,72750.0,other,Variable,As needed,1-2 weeks,No,0
0401,"Cost data for 22/11 KV, 1x5 MVA Substation ( Outdoor)",9-SUB,Earthing Sets H.T of C.I.pipe 150 mm 3 mtr.,No.,22.0,6300.0,138600.0,pipes,Long (>5 years),As needed,2-3 weeks,No,0
0401,"Cost data for 22/11 KV, 1x5 MVA Substation ( Outdoor)",9-SUB,Coal,Kg.,1310.0,15.0,19650.0,other,Variable,As needed,1-2 weeks,No,0
0401,"Cost data for 22/11 KV, 1x5 MVA Substation ( Outdoor)",9-SUB,Salt,Kg.,1310.0,7.0,9170.0,other,Variable,As needed,1-2 weeks,No,0
0401,"Cost data for 22/11 KV, 1x5 MVA Substation ( Outdoor)",9-SUB,RCC Ring work for earthing pits,No.,0.0,266.0,0.0,other,Variable,As needed,1-2 weeks,No,0
0401,"Cost data for 22/11 KV, 1x5 MVA Substation ( Outdoor)",9-SUB,Sundries,L.S.,1.0,810.0,810.0,other,Variable,As needed,1-2 weeks,No,0
0401,"Cost data for 22/11 KV, 1x5 MVA Substation ( Outdoor)",10,"Power Transformer 22/11 KV, 5 MVA (DY-11)",No,1.0,3305209.0,3305209.0,electrical,Long (>5 years),As needed,2-4 weeks,No,0
0401,"Cost data for 22/11 KV, 1x5 MVA Substation ( Outdoor)",11,22 KV P.T.,Nos,3.0,17855.0,53565.0,other,Variable,As needed,1-2 weeks,No,0
0401,"Cost data for 22/11 KV, 1x5 MVA Substation ( Outdoor)",12,22 KV C.T. Three core.,Nos,3.0,24999.0,74997.0,other,Variable,As needed,1-2 weeks,No,0
0401,"Cost data for 22/11 KV, 1x5 MVA Substation ( Outdoor)",13,22 KV VCB complete 1600 Amp (O.D.),Set,1.0,179600.0,179600.0,other,Variable,As needed,1-2 weeks,No,0
0401,"Cost data for 22/11 KV, 1x5 MVA Substation ( Outdoor)",14,C&R panel for 22 KV Transformer with 1 A relay,No,1.0,75834.0,75834.0,electrical,Long (>5 years),As needed,2-4 weeks,No,0
0401,"Cost data for 22/11 KV, 1x5 MVA Substation ( Outdoor)",15,22 kV Pin Insulators with G.I. Pins,Nos,6.0,336.0,2016.0,insulation,Long (>5 years),As needed,1-2 weeks,No,0
0401,"Cost data for 22/11 KV, 1x5 MVA Substation ( Outdoor)",16,Structure for 22 KV CT & PT as per Sheet no. 3,No,1.0,48071.0,48071.0,other,Variable,As needed,1-2 weeks,Yes,5
0401,"Cost data for 22/11 KV, 1x5 MVA Substation ( Outdoor)",16-SUB,Structure for 22 KV PT,Kg.,315.0,51.8,16317.0,other,Variable,As needed,1-2 weeks,No,0
0401,"Cost data for 22/11 KV, 1x5 MVA Substation ( Outdoor)",16-SUB,Structure for 22 KV CT,Kg.,360.0,51.8,18648.0,other,Variable,As needed,1-2 weeks,No,0
0401,"Cost data for 22/11 KV, 1x5 MVA Substation ( Outdoor)",16-SUB,Structure for 22 KV L.A.,Kg.,155.0,51.8,8029.0,other,Variable,As needed,1-2 weeks,No,0
0401,"Cost data for 22/11 KV, 1x5 MVA Substation ( Outdoor)",16-SUB,Structure for Power T/F Neutral Earthing,Kg.,50.0,51.8,2590.0,other,Variable,As needed,1-2 weeks,No,0
0401,"Cost data for 22/11 KV, 1x5 MVA Substation ( Outdoor)",16-SUB,G.I.Nut Bolts,Kg.,30.0,82.9,2487.0,fasteners,Long (>5 years),Quarterly,1 week,No,0
0401,"Cost data for 22/11 KV, 1x5 MVA Substation ( Outdoor)",17,G.I.Nut Bolts,KG,150.0,82.9,12435.0,fasteners,Long (>5 years),Quarterly,1 week,No,0
0401,"Cost data for 22/11 KV, 1x5 MVA Substation ( Outdoor)",18,Fire Extinguisher with stand,Set,1.0,4200.0,4200.0,other,Variable,As needed,1-2 weeks,No,0
0401,"Cost data for 22/11 KV, 1x5 MVA Substation ( Outdoor)",19,"11 kv 250 MVA OD Switchgears comprising of 1 Incomer and 3 single feeder with associated OD panels, Islators, C.T. & P.T. etc.",Set,1.0,852243.0,852243.0,electrical,Long (>5 years),As needed,2-4 weeks,No,0
0401,"Cost data for 22/11 KV, 1x5 MVA Substation ( Outdoor)",20,L.As. 11 KV (Gapless type) with disconector,Set,1.0,1268.0,1268.0,other,Variable,As needed,1-2 weeks,No,0
0401,"Cost data for 22/11 KV, 1x5 MVA Substation ( Outdoor)",21,Take off structure for 3 outgoing feeder as per Sheet no. 4,No.,1.0,256151.2,256151.2,other,Variable,As needed,1-2 weeks,Yes,17
